module,sample,seqlen,ppn,mem,trial,AvgRSS,AvgSharedTxt,AvgStack,AvgTotal,AvgUnsharedData,CommandTimed,ExitStatus,FileSysIn,FileSysOut,InvolCtxtSwitch,MajorFaults,MaxRSS,MinorFaults,PageSize,PercentCPU,SignalsDeliv,SocketMsgRecv,SocketMsgSent,Swaps,SystemTime,UserTime,VolCtxtSwitch,WallTime
velvet,LS002,35M,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,63622155,6828430,2927,3,16721940,2252716,4096,100%,0,0,0,0,14.33,2668.97,3481,44:42.78
velvet,LS002,35M,5,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,63621387,6828422,3056,3,16721936,2252703,4096,100%,0,0,0,0,14.15,2660.96,3462,44:34.62
velvet,LS002,35M,5,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,63621387,6828422,2860,3,16721940,2252715,4096,100%,0,0,0,0,12.48,2439.32,3473,40:51.42
velvet,LS002,35M,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,63621387,6828430,3120,3,16721940,2254243,4096,100%,0,0,0,0,13.93,2657.54,3469,44:31.06
velvet,LS002,35M,8,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,63621387,6828430,2930,3,16721936,2254217,4096,99%,0,0,0,0,14.75,2660.06,3438,44:35.07
velvet,LS002,35M,8,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,63622155,6828430,2861,3,16721940,2253723,4096,100%,0,0,0,0,12.34,2429.28,3461,40:41.27
velvet,LS002,40M,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,72783585,7769748,4256,3,18700684,2568012,4096,100%,0,0,0,0,15.37,3070.07,3925,51:24.82
velvet,LS002,40M,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,72784353,7769740,3395,3,18700628,2568487,4096,100%,0,0,0,0,15.85,3074.88,3938,51:30.21
velvet,LS002,40M,11,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,72784353,7769748,4133,3,18700632,4919049,4096,100%,0,0,0,0,18.44,3602.60,3902,1:00:19
velvet,LS002,40M,11,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,72784353,7769740,3166,3,18700632,2568986,4096,99%,0,0,0,0,14.78,2830.20,3917,47:25.22
